"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USW00014814","ALPENA WASTEWATER PLANT, MI US","2016",,"642","642","       185","        77","      110","        29","         2","       124","        57","       117","         7","-8","17","9.0","1.15","95","6549",,,"6549",,,,,,,,,,,"28.80",,"82.6","48.0","55.5","40.5",,,,,,,,
"USC00204280","KEARSARGE, MI US","2016",,,,,,"      141","        70",,,,,,,"37","13.0",,,,,,,,,,,,,,,,,"49.29",,"241.2",,,,,,,,,,,
"USC00202308","DUNDEE, MI US","2016",,"922","922","       116","        68",,,"         2","       120","        39","       148","        16","-4",,,"1.40","94","5432",,,"5432",,,,,,,,,,,"33.33",,,"51.3","61.1","41.5",,,,,,,,
"USC00203518","GWINN SHAG LAKE, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203639","HARVEY, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32.91",,,,,,,,,,,,,
"USC00205816","NEWBERRY CORRECTIONAL FACILITY, MI US","2016",,,,"       162","        98",,,,,,,,,,,"2.03",,"7811",,,"7811",,,,,,,,,,,"36.81",,,,,,,,,,,,,
"USC00200925","BOYNE FALLS, MI US","2016",,"783","783","       146","       104","      106","        47","         5","       147","        59","       147","        27","-20","12","8.0","1.77","97","6654",,,"6654",,,,,,,,,,,"38.39",,"122.5","48.9","59.0","38.7",,,,,,,,
"USW00014815","BATTLE CREEK KELLOGG AIRPORT, MI US","2016",,,,"       133","        72",,,,,,,,,,,"3.18",,,,,,,,,,,,,,,,"33.22",,,,,,,"       260",,,,"48.1",,
"USC00203632","HART 3 WSW, MI US","2016",,"565","565","       156","        81","       76","        34","         0","       139","        45","       138","         3","2","14","7.2","2.15","94","6356",,,"6356",,,,,,,,,,,"37.33",,"85.6","48.8","58.2","39.5",,,,,,,,
"USW00014817","CADILLAC, MI US","2016",,"535","535","       180","        81",,,"         7","       158","        62","       127","         3","-10",,,"1.17","92","7092",,,"7092",,,,,,,,,,,"32.70",,,"46.8","56.2","37.4",,,,,,,,
