"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00202851","FLINT 7 W, MI US","2015",,"524","524","       141","        64","       81",,"        24","       137","        62","       137","         2","-21","13",,"1.97","91","7547",,,"7547",,,,,,,,,,,"29.24",,,"47.2","57.1","37.4",,,,,,,,
"USC00205567","MONTAGUE 4 NW, MI US","2015",,"336","336",,,,,"         9","       129","        59","       126","         0","-11",,,,"87",,,,,,,,,,,,,,,,,,"47.1","56.0","38.2",,,,,,,,
"USC00200552","BATTLE CREEK 5 NW, MI US","2015",,"471","471","       153","        80","       75","        17","        17","       122","        43","       145","         4","-17","16","10.2","3.79","92","6980",,,"6980",,,,,,,,,,,"42.28",,"62.6","48.9","59.9","38.0",,,,,,,,
"USC00203025","FREMONT 4 WSW, MI US","2015",,"353","353",,,,,"        20","       131","        64","       125","         0","-16",,,,"88","8029",,,"8029",,,,,,,,,,,,,,"46.3","55.3","37.3",,,,,,,,
"USC00201522","CHESANING, MI US","2015",,,,"       104","        67",,,,,,,,,,,"1.30",,,,,,,,,,,,,,,,"26.04",,,,,,,,,,,,,
"USC00203823","HILLSDALE, MI US","2015",,"519","519","       150","        70","       68","        15","        23","       137","        61","       143","         1","-20","13","10.5","2.99","90","7584",,,"7584",,,,,,,,,,,"35.10",,"39.6","47.4","57.9","37.0",,,,,,,,
"US1MIOW0002","HOLLAND 3.9 NNE, MI US","2015",,,,"       144","        82",,,,,,,,,,,"1.99",,,,,,,,,,,,,,,,"35.30",,,,,,,,,,,,,
"USC00206662","PORT AUSTIN WWTP, MI US","2015",,,,,,,,,,,,,,,,,,"7496",,,"7496",,,,,,,,,,,,,,,,,,,,,,,,
"USC00205690","MUNISING, MI US","2015",,"176","176","       172","       101",,,"        32","       163","        85","        71","         0","-17",,,"1.50","87","9675",,,"9675",,,,,,,,,,,"39.19",,,"40.9","48.6","33.3",,,,,,,,
"USC00206300","OWOSSO WWTP, MI US","2015",,,,"       146","        68",,,,,"        58","       139","         3",,,,"1.42","91",,,,,,,,,,,,,,,"30.17",,,,"58.1",,,,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","2015",,,,"       133","        75",,,,,,,,,,,"1.63",,,,,,,,,,,,,,,,"34.34",,,,,,,,,,,,,
"USC00203391","GRAYLING, MI US","2015",,"338","338","       167","        76","       85","        23","        39","       171","        73","       123","         4","-33","16","8.0","1.82","93","9049",,,"9049",,,,,,,,,,,"33.16",,"49.8","42.9","54.0","31.7",,,,,,,,
"USC00208043","TAHQUAMENON FALLS STATE PARK, MI US","2015",,"197","197","       127","        84","      124","        39","        54","       198","        90","        98","         5","-32","32","8.5","1.39","92","10331",,,"10331",,,,,,,,,,,"31.75",,"123.1","39.5","50.8","28.2",,,,,,,,
"USC00205451","MILAN WWTP, MI US","2015",,,,,,,,,,,,,,,,,,"7229",,,"7229",,,,,,,,,,,,,,,,,,,,,,,,
"USC00207070","ROCKFORD, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMB0033","ROSEVILLE 1.7 ENE, MI US","2015",,,,"       124","        58",,,,,,,,,,,"1.97",,,,,,,,,,,,,,,,"28.23",,,,,,,,,,,,,
"USC00204808","LEXINGTON WATER PLANT, MI US","2015",,"411","411","       133","        68",,,"        22","       125","        61","       111","         2","-18",,,"1.50","90","7713",,,"7713",,,,,,,,,,,"28.88",,,"46.0","54.6","37.4",,,,,,,,
"USC00203278","GOODRICH, MI US","2015",,"544","544","       126","        69",,,"        23","       133","        60","       137","         5","-23",,,"1.67","91","7567",,,"7567",,,,,,,,,,,"25.74",,,"47.5","57.8","37.2",,,,,,,,
"USC00201896","CROSS VILLAGE 1 E, MI US","2015",,"218","218","       134","        79","       84","        15","        34","       150","        73","        87","         0","-22","15","7.6","1.82","89",,,,,,,,,,,,,,,"32.30",,"44.7","43.0","51.5","34.5",,,,,,,,
"USC00202984","FRANKFORT 2 NE, MI US","2015",,"347","347","       116","        74","       86","        19","         7","       118","        69","       106","         0","-9","18","5.4","2.55","88",,,,,,,,,,,,,,,"34.20",,"57.2","46.5","53.9","39.1",,,,,,,,
"USC00204130","ISHPEMING WWTP, MI US","2015",,,,"       146","        75",,,,,,,,,,,"1.50",,"10151",,,"10151",,,,,,,,,,,"26.27",,,,,,,,,,,,,
"USC00208972","WHITMORE LAKE 1 NW, MI US","2015",,"429","429","       120","        71",,,"        27","       139","        63","       138","         0","-26",,,"2.45","89","7456",,,"7456",,,,,,,,,,,"30.19",,,"46.8","57.4","36.2",,,,,,,,
"USR0000MSPI","SPINCICH LAKE MICHIGAN, MI US","2015",,"139","139",,,,,"        52","       192","        88","       101","         2","-39",,,,"91","10507",,,"10507",,,,,,,,,,,,,,"39.1","50.5","27.6",,,,,,,,
"USC00203925","HOPKINS 1 N, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.96",,,,,,,,,,,,,
